task1.time	task1.S1	task1.S2
0.0	5.0	0.0
0.06	3.70412627003	1.29587372997
0.12	2.74409671896	2.25590328104
0.18	2.0328712008	2.9671287992
0.24	1.50596132918	3.49403867082
0.3	1.11563102087	3.88436897913
0.36	0.82648705943	4.17351294057
0.42	0.612276615912	4.38772338409
0.48	0.453595433554	4.54640456645
0.54	0.336035992052	4.66396400795
0.6	0.248941052414	4.75105894759
0.66	0.184422622283	4.81557737772
0.72	0.136623891407	4.86337610859
0.78	0.101217815541	4.89878218446
0.84	0.0749858097194	4.92501419028
0.9	0.055550375572	4.94444962443
0.96	0.0411536309068	4.95884636909
1.02	0.0304876784582	4.96951232154
1.08	0.0225859205287	4.97741407947
1.14	0.0167323457924	4.98326765421
1.2	0.0123957191202	4.98760428088
1.26	0.00918305976399	4.99081694024
1.32	0.00680307164539	4.99319692835
1.38	0.00503988014334	4.99496011986
1.44	0.00373367381695	4.99626632618
1.5	0.00276600580488	4.9972339942
1.56	0.00204912741453	4.99795087259
1.62	0.00151804737875	4.99848195262
1.68	0.00112460866768	4.99887539133
1.74	0.000833138872762	4.99916686113
1.8	0.000617211508171	4.99938278849
1.86	0.000457246201626	4.9995427538
1.92	0.000338739701371	4.9996612603
1.98	0.00025094713869	4.99974905286
2.04	0.000185908275997	4.99981409172
2.1	0.000137725669996	4.99986227433
2.16	0.000102030724593	4.99989796928
2.22	7.5586981295e-05	4.99992441302
2.28	5.59968379883e-05	4.99994400316
2.34	4.14839128583e-05	4.99995851609
2.4	3.07323492721e-05	4.99996926765
2.46	2.27673151006e-05	4.99997723268
2.52	1.68666279561e-05	4.99998313337
2.58	1.24952372344e-05	4.99998750476
2.64	9.25679356958e-06	4.99999074321
2.7	6.85767064924e-06	4.99999314233
2.76	5.0803427561e-06	4.99999491966
2.82	3.76365066606e-06	4.99999623635
2.88	2.7882094059e-06	4.99999721179
2.94	2.0655772028e-06	4.99999793442
3.0	1.53023367352e-06	4.99999846977
3.06	1.13363722347e-06	4.99999886636
3.12	8.39827707489e-07	4.99999916017
3.18	6.22166920024e-07	4.99999937783
3.24	4.60942014001e-07	4.99999953906
3.3	3.41531688666e-07	4.99999965847
3.36	2.53060899132e-07	4.99999974694
3.42	1.87492038129e-07	4.99999981251
3.48	1.38906183887e-07	4.99999986109
3.54	1.02915199435e-07	4.99999989708
3.6	7.62536438756e-08	4.99999992375
3.66	5.64966786499e-08	4.9999999435
3.72	4.18587663344e-08	4.99999995814
3.78	3.10210542314e-08	4.99999996898
3.84	2.30114603247e-08	4.99999997699
3.9	1.70802119264e-08	4.99999998292
3.96	1.26770455939e-08	4.99999998732
4.02	9.40493546577e-09	4.9999999906
4.08	6.97226926718e-09	4.99999999303
4.14	5.16690795514e-09	4.99999999483
4.2	3.83626961581e-09	4.99999999616
4.26	2.86963165224e-09	4.99999999713
4.32	2.15712482538e-09	4.99999999784
4.38	1.66878751001e-09	4.99999999833
4.44	1.28325499999e-09	4.99999999872
4.5	1.02641028098e-09	4.99999999897
4.56	8.05485571172e-10	4.99999999919
4.62	6.31856180644e-10	4.99999999937
4.68	4.86109470979e-10	4.99999999951
4.74	3.60788568013e-10	4.99999999964
4.8	2.61079068059e-10	4.99999999974
4.86	1.88275563805e-10	4.99999999981
4.92	1.35779631462e-10	4.99999999986
4.98	1.02011548473e-10	4.9999999999
5.04	8.3741946535e-11	4.99999999992
5.1	6.80828794112e-11	4.99999999993
5.16	5.93273846618e-11	4.99999999994
5.22	4.84099882889e-11	4.99999999995
5.28	3.64556130897e-11	4.99999999996
5.34	2.53170824337e-11	4.99999999997
5.4	1.51683276828e-11	4.99999999998
5.46	7.17414394502e-12	4.99999999999
5.52	3.55291828272e-12	5.0
5.58	2.1099667589e-12	5.0
5.64	2.39830190352e-12	5.0
5.7	4.28129505329e-12	5.0
5.76	5.03764656431e-12	4.99999999999
5.82	8.66375653209e-12	4.99999999999
5.88	1.24312341999e-11	4.99999999999
5.94	1.37740439689e-11	4.99999999999
6.0	1.5535923212e-11	4.99999999998
