task1.k1	task1.S1
2.0	5.0
2.0	4.09366362981
2.0	3.35164920007
2.0	2.74409439771
2.0	2.24667033422
2.0	1.83940982345
2.0	1.50595844097
2.0	1.23295960952
2.0	1.00946628328
2.0	0.826485714978
2.0	0.67666875888
2.0	0.554011216024
2.0	0.453596504025
2.0	0.371378859651
2.0	0.3040577568
2.0	0.2489415478
2.0	0.203818212183
2.0	0.166873276958
2.0	0.136624242241
2.0	0.111858843908
2.0	0.0915829684142
2.0	0.0749821175561
2.0	0.0613903032836
2.0	0.0502623455558
2.0	0.0411515653287
2.0	0.0336921854942
2.0	0.0275849143991
2.0	0.0225847252561
2.0	0.0184908998811
2.0	0.0151391271237
2.0	0.0123949154834
2.0	0.0101481462039
2.0	0.00830863671289
2.0	0.00680256136094
2.0	0.00556949049346
2.0	0.00455993399111
2.0	0.00373337381354
2.0	0.00305663997675
2.0	0.00250257633574
2.0	0.00204894524278
2.0	0.00167754086443
2.0	0.00137346036918
2.0	0.00112449925736
2.0	0.000920665963538
2.0	0.000753780562179
2.0	0.000617146083374
2.0	0.000505278680183
2.0	0.00041368877323
2.0	0.000338701229336
2.0	0.000277306345942
2.0	0.00022704017448
2.0	0.000185885522422
2.0	0.00015219087501
2.0	0.000124603891363
2.0	0.000102017427049
2.0	8.35251774216e-05
2.0	6.83849356319e-05
2.0	5.59890811789e-05
2.0	4.58401678399e-05
2.0	3.75309232377e-05
2.0	3.07278544793e-05
2.0	2.51579354921e-05
2.0	2.05976673635e-05
2.0	1.68640187193e-05
2.0	1.38071476606e-05
2.0	1.1304382202e-05
2.0	9.25528680834e-06
2.0	7.57762080777e-06
2.0	6.20405490484e-06
2.0	5.0794732097e-06
2.0	4.15873941481e-06
2.0	3.40490185601e-06
2.0	2.78770918697e-06
2.0	2.28239346444e-06
2.0	1.86867381583e-06
2.0	1.52994657582e-06
2.0	1.2526220963e-06
2.0	1.02557999863e-06
2.0	8.39719954589e-07
2.0	6.87557451891e-07
2.0	5.62961254192e-07
2.0	4.60933161811e-07
2.0	3.77390083095e-07
2.0	3.08989373938e-07
2.0	2.52990806506e-07
2.0	2.07144406059e-07
2.0	1.69604141451e-07
2.0	1.38864966124e-07
2.0	1.13696182088e-07
2.0	9.30908324888e-08
2.0	7.62326020906e-08
2.0	6.24346293737e-08
2.0	5.1156223374e-08
2.0	4.1916708545e-08
2.0	3.43554319046e-08
2.0	2.81516079636e-08
2.0	2.3063843105e-08
2.0	1.88899864473e-08
2.0	1.54680381476e-08
2.0	1.26665094264e-08
2.0	1.03749586442e-08
