repeat1.MAPK	repeat1.time	repeat1.MAPK_P	repeat1.MAPK	repeat1.time	repeat1.MAPK_PP	repeat1.MAPK	repeat1.time	repeat1.MKK
280.0	0.0	10.0	280.0	0.0	10.0	280.0	0.0	280.0
279.897553739	4.0	10.5014281588	279.897553739	4.0	9.60101810181	279.897553739	4.0	280.095207172
279.871481396	8.0	10.9208194833	279.871481396	8.0	9.20769912075	279.871481396	8.0	279.882931211
279.897397778	12.0	11.2760602021	279.897397778	12.0	8.82654201979	279.897397778	12.0	279.364706529
279.951794648	16.0	11.5833664685	279.951794648	16.0	8.46483888359	279.951794648	16.0	278.540745076
280.012274159	20.0	11.8574750884	280.012274159	20.0	8.13025075274	280.012274159	20.0	277.410162003
280.057227656	24.0	12.1121937701	280.057227656	24.0	7.8305785738	280.057227656	24.0	275.971619414
280.065614541	28.0	12.3607500719	280.065614541	28.0	7.57363538687	280.065614541	28.0	274.223811585
280.016871346	32.0	12.6159005805	280.016871346	32.0	7.3672280731	280.016871346	32.0	272.165888083
279.890743523	36.0	12.89005137	279.890743523	36.0	7.21920510669	279.890743523	36.0	269.797921155
279.667149927	40.0	13.1952871731	279.667149927	40.0	7.13756289983	279.667149927	40.0	267.121322123
279.32610169	44.0	13.5433026369	279.32610169	44.0	7.13059567352	279.32610169	44.0	264.13926436
278.847680953	48.0	13.9452498626	278.847680953	48.0	7.20706918435	278.847680953	48.0	260.857068601
278.212059656	52.0	14.4115562576	278.212059656	52.0	7.3763840861	278.212059656	52.0	257.282504594
277.399557357	56.0	14.9516993107	277.399557357	56.0	7.64874333271	277.399557357	56.0	253.426016502
276.390714122	60.0	15.574076829	276.390714122	60.0	8.03520904889	276.390714122	60.0	249.300717393
275.166441096	64.0	16.2856837957	275.166441096	64.0	8.54787510808	275.166441096	64.0	244.9224756
273.708171565	68.0	17.0919063286	273.708171565	68.0	9.19992210627	273.708171565	68.0	240.309724431
271.998046715	72.0	17.996426611	271.998046715	72.0	10.0055266737	271.998046715	72.0	235.482990569
270.019071693	76.0	19.001137524	270.019071693	76.0	10.9797907828	270.019071693	76.0	230.464414155
267.755276774	80.0	20.1061269763	267.755276774	80.0	12.13859625	267.755276774	80.0	225.277161902
265.191840676	84.0	21.3097930236	265.191840676	84.0	13.4983663005	265.191840676	84.0	219.944701139
262.315194013	88.0	22.6089480931	262.315194013	88.0	15.0758578936	262.315194013	88.0	214.490232575
259.113096613	92.0	23.9989900719	259.113096613	92.0	16.8879133151	259.113096613	92.0	208.936140836
255.574677536	96.0	25.4741174038	255.574677536	96.0	18.9512050602	255.574677536	96.0	203.303563857
251.690460235	100.0	27.0275507346	251.690460235	100.0	21.2819890303	251.690460235	100.0	197.612037414
247.45233332	104.0	28.6517966592	247.45233332	104.0	23.895870021	247.45233332	104.0	191.879371359
242.853527711	108.0	30.3388597483	242.853527711	108.0	26.8076125406	242.853527711	108.0	186.12159101
237.8885815	112.0	32.0804345751	237.8885815	112.0	30.0309839248	237.8885815	112.0	180.352985747
232.553301567	116.0	33.8680580271	232.553301567	116.0	33.5786404055	232.553301567	116.0	174.586233509
226.844728094	120.0	35.6932383698	226.844728094	120.0	37.4620335363	226.844728094	120.0	168.832541395
220.761106693	124.0	37.5475072912	220.761106693	124.0	41.6913860156	220.761106693	124.0	163.101854232
214.301874309	128.0	39.4224604262	214.301874309	128.0	46.2756652647	214.301874309	128.0	157.402998527
207.467659146	132.0	41.3097508157	207.467659146	132.0	51.2225900381	207.467659146	132.0	151.743850278
200.260303528	136.0	43.2010391697	200.260303528	136.0	56.5386573024	200.260303528	136.0	146.131486844
192.682901285	140.0	45.087924903	192.682901285	140.0	62.2291738123	192.682901285	140.0	140.572327376
184.739883401	144.0	46.9618066002	184.739883401	144.0	68.2983099986	184.739883401	144.0	135.072245209
176.43714092	148.0	48.8137210698	176.43714092	148.0	74.7491380098	176.43714092	148.0	129.636664822
167.782247112	152.0	50.6340833307	167.782247112	152.0	81.5836695574	167.782247112	152.0	124.270630822
158.784469037	156.0	52.4126318429	158.784469037	156.0	88.8028991198	158.784469037	156.0	118.978956512
149.455615759	160.0	54.1375964612	149.455615759	160.0	96.4067877798	149.455615759	160.0	113.766140214
139.809454667	164.0	55.7961925385	139.809454667	164.0	104.394352794	139.809454667	164.0	108.636673877
129.863997233	168.0	57.3725004971	129.863997233	168.0	112.76350227	129.863997233	168.0	103.594751131
119.6399776	172.0	58.8487910369	119.6399776	172.0	121.511231363	119.6399776	172.0	98.6446831881
109.165493156	176.0	60.201316301	109.165493156	176.0	130.633190543	109.165493156	176.0	93.7905538795
98.4730116002	180.0	61.4029410256	98.4730116002	180.0	140.124047374	98.4730116002	180.0	89.0365734333
87.6073589147	184.0	62.4161165925	87.6073589147	184.0	149.976524493	87.6073589147	184.0	84.3868763612
76.6268047643	188.0	63.191718218	76.6268047643	188.0	160.181477018	76.6268047643	188.0	79.8456566004
65.6104159363	192.0	63.6623945266	65.6104159363	192.0	170.727189537	65.6104159363	192.0	75.4172039524
54.6684509923	196.0	63.7333574148	54.6684509923	196.0	181.598191593	54.6684509923	196.0	71.1059092857
43.9532368559	200.0	63.2727069077	43.9532368559	200.0	192.774056236	43.9532368559	200.0	66.9162870882
33.6915941777	204.0	62.0830415281	33.6915941777	204.0	204.225364294	33.6915941777	204.0	62.8529350457
24.2151242292	208.0	59.8764378497	24.2151242292	208.0	215.908437921	24.2151242292	208.0	58.9205564606
15.9833544589	212.0	56.2614607921	15.9833544589	212.0	227.755184749	15.9833544589	212.0	55.1239644917
9.54572451854	216.0	50.7989058138	9.54572451854	216.0	239.655369668	9.54572451854	216.0	51.4680611616
5.25605193183	220.0	43.319190212	5.25605193183	220.0	251.424757856	5.25605193183	220.0	47.9577786198
2.89875963521	224.0	34.3269189724	2.89875963521	224.0	262.774321392	2.89875963521	224.0	44.5980347511
1.77483876529	228.0	24.9457880416	1.77483876529	228.0	273.279373193	1.77483876529	228.0	41.393643145
1.22550890496	232.0	16.4105407789	1.22550890496	232.0	282.363950316	1.22550890496	232.0	38.3492054591
0.881861932708	236.0	9.73880250106	0.881861932708	236.0	289.379335566	0.881861932708	236.0	35.4689701606
0.609285279689	240.0	5.44001808879	0.609285279689	240.0	293.950696632	0.609285279689	240.0	32.7566689603
0.398969792372	244.0	3.1992230095	0.398969792372	244.0	296.401807198	0.398969792372	244.0	30.2153424789
0.264159879909	248.0	2.20115927787	0.264159879909	248.0	297.534680842	0.264159879909	248.0	27.8471710684
0.191372938534	252.0	1.78345104677	0.191372938534	252.0	298.025176015	0.191372938534	252.0	25.6533043068
0.155687820441	256.0	1.60461936144	0.155687820441	256.0	298.239692818	0.155687820441	256.0	23.6336787954
0.138370791563	260.0	1.52074752698	0.138370791563	260.0	298.340881681	0.138370791563	260.0	21.7868377479
0.129276279412	264.0	1.47482427615	0.129276279412	264.0	298.395899444	0.129276279412	264.0	20.1097815933
0.123730041876	268.0	1.44438838603	0.123730041876	268.0	298.431881572	0.123730041876	268.0	18.597879229
0.119717805721	272.0	1.42068985847	0.119717805721	272.0	298.459592336	0.119717805721	272.0	17.2448631145
0.116427519982	276.0	1.40024243519	0.116427519982	276.0	298.483330045	0.116427519982	276.0	16.0429213646
0.113532432664	280.0	1.38165445622	0.113532432664	280.0	298.504813111	0.113532432664	280.0	14.9828871636
0.11088853974	284.0	1.36443671473	0.11088853974	284.0	298.524674746	0.11088853974	284.0	14.0545122465
0.108450611371	288.0	1.34827457468	0.108450611371	288.0	298.543274814	0.108450611371	288.0	13.2467996206
0.106173173191	292.0	1.33315198964	0.106173173191	292.0	298.560674837	0.106173173191	292.0	12.5483626286
0.10405881246	296.0	1.31889533415	0.10405881246	296.0	298.577045853	0.10405881246	296.0	11.9477774564
0.102085045941	300.0	1.30550641562	0.102085045941	300.0	298.592408538	0.102085045941	300.0	11.4338999192
0.100247196636	304.0	1.29292053468	0.100247196636	304.0	298.606832269	0.100247196636	304.0	10.9961261844
0.0985337195409	308.0	1.28111505083	0.0985337195409	308.0	298.62035123	0.0985337195409	308.0	10.6245870362
0.096938790945	312.0	1.27004928013	0.096938790945	312.0	298.633011929	0.096938790945	312.0	10.3102749089
0.0954569402355	316.0	1.25968169938	0.0954569402355	316.0	298.64486136	0.0954569402355	316.0	10.0451135834
0.0940797161731	320.0	1.24999021132	0.0940797161731	320.0	298.655930072	0.0940797161731	320.0	9.82196972452
0.0928010596506	324.0	1.24094751254	0.0928010596506	324.0	298.666251428	0.0928010596506	324.0	9.63463010344
0.0916162938634	328.0	1.23252116261	0.0916162938634	328.0	298.675862544	0.0916162938634	328.0	9.47774984735
0.0905202204906	332.0	1.22468353228	0.0905202204906	332.0	298.684796247	0.0905202204906	332.0	9.34676909983
0.0895076658749	336.0	1.21740933409	0.0895076658749	336.0	298.693083	0.0895076658749	336.0	9.23786257736
0.0885738631117	340.0	1.21067367412	0.0885738631117	340.0	298.700752463	0.0885738631117	340.0	9.14784139264
0.087714068083	344.0	1.20445319833	0.087714068083	344.0	298.707832734	0.087714068083	344.0	9.07419391146
0.0869251453861	348.0	1.19872146097	0.0869251453861	348.0	298.714353394	0.0869251453861	348.0	9.01469156325
0.0862029849079	352.0	1.1934562816	0.0862029849079	352.0	298.720340733	0.0862029849079	352.0	8.96781008623
0.0855432904318	356.0	1.18863815519	0.0855432904318	356.0	298.725818554	0.0855432904318	356.0	8.93214383044
0.0849427913615	360.0	1.18424505048	0.0849427913615	360.0	298.730812158	0.0849427913615	360.0	8.9067597825
0.0843990643395	364.0	1.18025267205	0.0843990643395	364.0	298.735348264	0.0843990643395	364.0	8.89084969392
0.0839084282935	368.0	1.17664400423	0.0839084282935	368.0	298.739447567	0.0839084282935	368.0	8.88385242339
0.0834675181264	372.0	1.17340216876	0.0834675181264	372.0	298.743130313	0.0834675181264	372.0	8.88541021489
0.0830743015128	376.0	1.17050457071	0.0830743015128	376.0	298.746421128	0.0830743015128	376.0	8.89522396987
0.0827261522932	380.0	1.16793376966	0.0827261522932	380.0	298.749340078	0.0827261522932	380.0	8.91320182437
0.0824198700462	384.0	1.16567821786	0.0824198700462	384.0	298.751901912	0.0824198700462	384.0	8.93925782522
0.0821534222912	388.0	1.16372024517	0.0821534222912	388.0	298.754126333	0.0821534222912	388.0	8.97342712573
0.0819253178567	392.0	1.16204020685	0.0819253178567	392.0	298.756034475	0.0819253178567	392.0	9.01577195792
0.0817328956238	396.0	1.16062969204	0.0817328956238	396.0	298.757637412	0.0817328956238	396.0	9.06638311461
0.0815740969365	400.0	1.15947762606	0.0815740969365	400.0	298.758948277	0.0815740969365	400.0	9.12540806926
0.0814479384236	404.0	1.15856488212	0.0814479384236	404.0	298.759987179	0.0814479384236	404.0	9.19297591962
0.0813527874264	408.0	1.15788082123	0.0813527874264	408.0	298.760766391	0.0813527874264	408.0	9.26925719839
0.0812864771142	412.0	1.1574224671	0.0812864771142	412.0	298.761291056	0.0812864771142	412.0	9.35440870346
0.0812480782692	416.0	1.15717562723	0.0812480782692	416.0	298.761576294	0.0812480782692	416.0	9.44860283955
0.0812369303377	420.0	1.15712499506	0.0812369303377	420.0	298.761638075	0.0812369303377	420.0	9.55201109002
0.0812511921171	424.0	1.15727199289	0.0812511921171	424.0	298.761476815	0.0812511921171	424.0	9.66480525019
0.0812897930921	428.0	1.15761065101	0.0812897930921	428.0	298.761099556	0.0812897930921	428.0	9.78716228345
0.0813525699683	432.0	1.15812398772	0.0813525699683	432.0	298.760523442	0.0813525699683	432.0	9.91925787531
0.0814385899683	436.0	1.15880857762	0.0814385899683	436.0	298.759752832	0.0814385899683	436.0	10.0612715143
0.0815465045241	440.0	1.15966962329	0.0815465045241	440.0	298.758783872	0.0815465045241	440.0	10.2133852307
0.0816762157881	444.0	1.1606938434	0.0816762157881	444.0	298.757629941	0.0816762157881	444.0	10.3757860341
0.0818275989009	448.0	1.16187029346	0.0818275989009	448.0	298.756302108	0.0818275989009	448.0	10.5486647143
0.0819995143267	452.0	1.16320856452	0.0819995143267	452.0	298.754791921	0.0819995143267	452.0	10.7322207197
