task0.time	task0.S1
0.0	10.0
0.1	9.90049812692
0.2	9.80198604122
0.3	9.70445451418
0.4	9.60789356192
0.5	9.51229355617
0.6	9.41764479041
0.7	9.32393853119
0.8	9.23116482638
0.9	9.13931404296
1.0	9.04837701972
1.1	8.9583458434
1.2	8.86921036126
1.3	8.78096126996
1.4	8.69359025231
1.5	8.6070893604
1.6	8.52144889779
1.7	8.43665993099
1.8	8.35271546356
1.9	8.26960740695
2.0	8.18732659898
2.1	8.10586455111
2.2	8.02521276835
2.3	7.94536274918
2.4	7.86630598563
2.5	7.78803855913
2.6	7.71055012888
2.7	7.63383258041
2.8	7.55787800601
2.9	7.48267853706
3.0	7.40822634406
3.1	7.33451431167
3.2	7.26153703558
3.3	7.18928562515
3.4	7.11775280567
3.5	7.04693137527
3.6	6.97681420494
3.7	6.9073942385
3.8	6.83866480983
3.9	6.77061921094
4.0	6.70325047453
4.1	6.63655191721
4.2	6.57051693511
4.3	6.50513900395
4.4	6.44041167903
4.5	6.37632798977
4.6	6.31288177772
4.7	6.25006684047
4.8	6.18787695585
4.9	6.12630597354
5.0	6.06534781504
5.1	6.00499638715
5.2	5.94524503639
5.3	5.88608824715
5.4	5.82752012793
5.5	5.76953485047
5.6	5.71212664976
5.7	5.65528982408
5.8	5.59901855807
5.9	5.54330704377
6.0	5.48814989809
6.1	5.4335416129
6.2	5.3794767384
6.3	5.32594988306
6.4	5.27295571366
6.5	5.22048861469
6.6	5.16854339527
6.7	5.11711497488
6.8	5.06619822285
6.9	5.01578806631
7.0	4.96587949017
7.1	4.9164675372
7.2	4.86754730794
7.3	4.81911396075
7.4	4.77116271181
7.5	4.72368831693
7.6	4.67668564476
7.7	4.63015057295
7.8	4.58407847794
7.9	4.53846479014
8.0	4.49330499398
8.1	4.44859462789
8.2	4.40432928428
8.3	4.36050460959
8.4	4.31711630424
8.5	4.27415987063
8.6	4.23162969008
8.7	4.18952264706
8.8	4.14783456081
8.9	4.10656129889
9.0	4.06569877717
9.1	4.02524295984
9.2	3.98518985937
9.3	3.94553553657
9.4	3.90627610056
9.5	3.86740770874
9.6	3.82892505075
9.7	3.79082511804
9.8	3.75310429558
9.9	3.71575883701
10.0	3.67878503882
