task1.k1	task1.S1
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
0.0	5.0
